Id,Prediction
0,1.8646055299254478
1,1.819723374809092
2,1.8793699540240991
3,1.8134175745559371
4,2.0066904481295298
5,1.9200884948974588
6,1.8329909678640284
7,1.8658849548349841
8,1.9768314879443609
9,1.7818030124945174
10,1.8012210932344102
11,1.8646055299254478
12,1.8238869890520881
13,1.9609455319125513
14,2.0066904481295298
15,2.0171598626256806
16,1.8750749444215986
17,1.8443090977917826
18,2.001664072785911
19,1.93837054810305
20,2.001664072785911
21,1.9422358787897724
22,1.8709113301786029
23,2.0171598626256806
24,1.7354350936789189
25,1.8644446771548904
26,1.8578099498287024
27,1.9289002603731991
28,2.001664072785911
29,1.9555024927600193
30,1.9654533953308053
31,1.7500331378648994
32,1.7321384543483
33,1.8333855122578597
34,2.0288378320218432
35,1.8578788672810089
36,1.9872582800260139
37,1.9651108961337007
38,2.0040584822757799
39,1.8146969994654736
40,2.0288378320218432
41,1.8906130221059219
42,1.8646055299254478
43,1.8658849548349841
44,1.9150621195538402
45,2.0790851293894188
46,1.8583885227546695
47,1.9558999629008653
48,1.817160326407649
49,1.8736707454380406
50,1.8329909678640284
51,1.9422358787897724
52,1.8799765456911954
53,2.0066904481295298
54,1.9433060114384919
55,2.0500445579122215
56,1.9017264594426628
57,1.8646943230078243
58,2.0007067506104828
59,1.810843583971715
60,1.7837575953041176
61,1.7321384543483
62,2.0288378320218432
63,1.8033788695377193
64,1.8443090977917826
65,1.7995068594250245
66,2.0004734409587512
67,1.7668963161967779
68,2.0007067506104828
69,1.8583885227546695
70,1.9651108961337007
71,1.8749650642536888
72,1.9149416203754004
73,2.0066904481295298
74,1.8513755470733224
75,1.8012210932344102
76,1.9142654399612946
77,1.9800882157427095
78,1.9659719072561701
79,1.819723374809092
80,1.895420659189508
81,1.8640623420643589
82,1.9901107534307305
83,1.9651108961337007
84,1.8709113301786029
85,1.8134175745559371
86,1.8503982579532661
87,1.8644446771548904
88,1.9555024927600193
89,1.8683482817771597
90,1.9695966131108047
91,2.0000759708179054
92,1.7178303847808747
93,2.0324792020499713
94,1.9489780782430313
95,1.9845071814696835
96,2.0375055773935897
97,1.9651108961337007
98,1.8452664199672109
99,1.8640789172279524
100,1.8579910526138235
101,2.0288378320218432
102,1.9899502206222157
103,1.8867529138177612
104,1.7667470408865782
105,2.001664072785911
106,2.0000759708179054
107,1.9142654399612946
108,1.9659719072561701
109,2.0066904481295298
110,1.9555024927600193
111,1.9555024927600193
112,1.9651108961337007
113,1.8580491331183095
